Theme,Topic,Country,Year,Indicator,Value
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Mauritius,2010,Number of large corporate income taxpayers,2741
Theme 2:  Tax Base,Presumptive,Morocco,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Morocco,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of corporate income taxpayers:,28081
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of VAT taxpayers:,75183
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of personal income taxpayers:,1152991
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Other taxpayers (Specify):,42170
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Total number of actual registered taxpayers,1216745
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Total number of actual active taxpayers,112723
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Mozambique,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Namibia,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of corporate income taxpayers:,54367
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of VAT taxpayers:,28615
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of personal income taxpayers:,25390
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of wage/salary taxpayers (employers):,11404
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of wage/salary taxpayers (employees):,315360
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of trust taxpayers:,466
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Namibia,2010,Other taxpayers (Specify):,375
Theme 2:  Tax Base,Presumptive,Namibia,2010,Total number of actual registered taxpayers,435420
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of active corporate income taxpayers:,54179
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of active VAT taxpayers:,26533
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of active personal income taxpayers:,24568
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of active wage taxpayers (employers):,10091
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of active wage taxpayers (employees):,309092
Theme 2:  Tax Base,Presumptive,Namibia,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Namibia,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Niger,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of corporate income taxpayers:,145510
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of VAT taxpayers:,212904
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of personal income taxpayers:,67394
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of wage/salary taxpayers (employees):,96532
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of active corporate income taxpayers:,31599
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of active VAT taxpayers:,38474
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of active personal income taxpayers:,4527
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Total number of actual active taxpayers,
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Nigeria,2010,Number of large corporate income taxpayers,58272
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of corporate income taxpayers:,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of VAT taxpayers:,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of personal income taxpayers:,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of wage/salary taxpayers (employers):,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of wage/salary taxpayers (employees):,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of trust taxpayers:,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number presumptive taxpayers:,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Other taxpayers (Specify):,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of active corporate income taxpayers:,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of active VAT taxpayers:,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of active personal income taxpayers:,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of active wage taxpayers (employers):,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of active wage taxpayers (employees):,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Total number of actual active taxpayers,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of large corporate income taxpayers,
Theme 2:  Tax Base,Presumptive,Rwanda,2010,Number of large corporate income taxpayers,
Theme 2:  Tax Base,Presumptive,Senegal,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of corporate income taxpayers:,6073
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of VAT taxpayers:,18684
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of personal income taxpayers:,12231
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of wage/salary taxpayers (employers):,7679
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number presumptive taxpayers:,337052
Theme 2:  Tax Base,Presumptive,Senegal,2010,Other taxpayers (Specify):,3645
Theme 2:  Tax Base,Presumptive,Senegal,2010,Total number of actual registered taxpayers,40971
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of active corporate income taxpayers:,4072
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of active VAT taxpayers:,8422
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of active personal income taxpayers:,11744
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of active wage taxpayers (employers):,3098
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of active wage taxpayers (employees):,100929
Theme 2:  Tax Base,Presumptive,Senegal,2010,Total number of actual active taxpayers,20973
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Senegal,2010,Number of large corporate income taxpayers,826
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of corporate income taxpayers:,2987
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of personal income taxpayers:,9287
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of wage/salary taxpayers (employers):,3034
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of wage/salary taxpayers (employees):,44159
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of trust taxpayers:,65
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Other taxpayers (Specify):,2240
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Total number of actual registered taxpayers,14514
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of active corporate income taxpayers:,2038
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of active personal income taxpayers:,4541
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of active wage taxpayers (employers):,2796
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Total number of actual active taxpayers,7510
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of large corporate income taxpayers,67
Theme 2:  Tax Base,Presumptive,Seychelles,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Sudan,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of corporate income taxpayers:,36375
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of VAT taxpayers:,13253
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of personal income taxpayers:,469285
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of wage/salary taxpayers (employers):,1059624
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of wage/salary taxpayers (employees):,101893
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Total number of actual active taxpayers,
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of large corporate income taxpayers,400
Theme 2:  Tax Base,Presumptive,Tanzania,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Togo,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of corporate income taxpayers:,1686
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of VAT taxpayers:,3595
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of personal income taxpayers:,3780
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of wage/salary taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of wage/salary taxpayers (employees):,119054
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Togo,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Togo,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Togo,2010,Total number of actual registered taxpayers,/
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of active wage taxpayers (employers):,7746
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of active wage taxpayers (employees):,83845
Theme 2:  Tax Base,Presumptive,Togo,2010,Total number of actual active taxpayers,/
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of large corporate income taxpayers,676
Theme 2:  Tax Base,Presumptive,Togo,2010,Number of large corporate income taxpayers,/
Theme 2:  Tax Base,Presumptive,Uganda,2010,Taxpayers, 
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of corporate income taxpayers:,29142
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of VAT taxpayers:,16639
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of personal income taxpayers:,67653
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of wage/salary taxpayers (employers):,10012
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of wage/salary taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of trust taxpayers:,/
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number presumptive taxpayers:,/
Theme 2:  Tax Base,Presumptive,Uganda,2010,Other taxpayers (Specify):,/
Theme 2:  Tax Base,Presumptive,Uganda,2010,Total number of actual registered taxpayers,
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of active corporate income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of active VAT taxpayers:,/
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of active personal income taxpayers:,/
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of active wage taxpayers (employers):,/
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of active wage taxpayers (employees):,/
Theme 2:  Tax Base,Presumptive,Uganda,2010,Total number of actual active taxpayers,
Theme 2:  Tax Base,Presumptive,Uganda,2010,Number of large corporate income taxpayers,/
